country,year,gdp,co2,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,co2_per_capita,co2_per_gdp,share_global_co2,methane_per_capita,nitrous_oxide_per_capita,total_ghg_excluding_lucf,total_ghg,temperature_change_from_co2
Cyprus,2009,26682212352.0,8.471,0.059,7.685,0.001,0.673,0.0,7.636,0.317,0.027,0.599,0.329,9.087,8.691,0.0
Cyprus,2010,27285555200.0,8.102,0.071,7.441,0.001,0.555,0.0,7.184,0.297,0.024,0.975,0.335,9.144,8.716,0.0
Cyprus,2011,27627898880.0,7.789,0.031,7.186,0.001,0.546,0.0,6.794,0.282,0.023,0.952,0.321,8.821,8.358,0.0
Cyprus,2012,26675451904.0,7.264,0.001,6.735,0.001,0.505,0.0,6.233,0.272,0.021,0.877,0.311,8.231,7.675,0.0
Cyprus,2013,24918237184.0,6.584,0.001,5.817,0.001,0.752,0.0,5.561,0.264,0.019,0.833,0.278,7.519,6.991,0.0
Cyprus,2014,24475580416.0,6.952,0.009,5.957,0.0,0.974,0.0,5.785,0.284,0.02,0.818,0.269,7.883,8.125,0.0
Cyprus,2015,25312503808.0,6.973,0.015,6.07,0.0,0.877,0.0,5.718,0.275,0.02,0.826,0.281,7.936,7.644,0.0
Cyprus,2016,26976335872.0,7.375,0.002,6.476,0.0,0.883,0.0,5.961,0.273,0.021,0.839,0.277,8.364,8.58,0.0
Cyprus,2017,28523085824.0,7.505,0.012,6.554,0.0,0.923,0.0,5.984,0.263,0.021,0.843,0.28,8.509,8.955,0.0
Cyprus,2018,30134013952.0,7.323,0.054,6.401,0.0,0.848,0.0,5.763,0.243,0.02,1.119,0.279,8.692,8.683,0.0
Cyprus,2019,31800246272.0,7.344,0.068,6.462,0.0,0.789,0.0,5.708,0.231,0.02,1.5,0.281,9.219,9.18,0.0
Cyprus,2020,30409793536.0,7.015,0.056,6.057,0.0,0.882,0.0,5.387,0.231,0.02,1.448,0.281,8.829,8.876,0.0
Cyprus,2021,32428679168.0,7.17,0.159,6.114,0.0,0.879,0.0,5.443,0.221,0.019,1.566,0.281,9.16,9.252,0.0
Cyprus,2022,34255009792.0,7.198,0.123,6.174,0.0,0.88,0.0,5.406,0.21,0.019,1.699,0.283,9.381,9.524,0.0
Czechia,2000,174309523456.0,127.236,86.836,18.192,18.134,1.937,0.322,12.429,0.73,0.499,1.356,0.638,140.439,140.006,0.004
Czechia,2001,181753184256.0,127.145,84.798,19.283,19.3,1.629,0.332,12.426,0.7,0.495,1.365,0.667,140.447,134.903,0.004
Czechia,2002,187044888576.0,123.968,82.673,19.254,18.539,1.403,0.334,12.107,0.663,0.472,1.349,0.572,137.125,130.431,0.004
Czechia,2003,196327997440.0,127.572,83.968,21.059,18.974,1.485,0.323,12.447,0.65,0.461,1.357,0.578,140.95,133.658,0.004
Czechia,2004,208725901312.0,128.292,83.408,22.039,19.12,1.627,0.314,12.502,0.615,0.448,1.362,0.589,141.932,134.485,0.004
Czechia,2005,225302577152.0,125.691,80.604,22.6,18.759,1.625,0.314,12.227,0.558,0.424,1.323,0.58,139.006,130.695,0.004
Czechia,2006,243991789568.0,126.537,81.885,22.374,18.415,1.748,0.336,12.28,0.519,0.413,1.323,0.566,139.852,133.002,0.004
Czechia,2007,260673044480.0,128.366,83.628,23.065,17.459,2.043,0.303,12.417,0.492,0.407,1.312,0.569,141.514,135.044,0.005
Czechia,2008,271709536256.0,122.935,78.66,22.905,17.298,1.996,0.298,11.845,0.452,0.383,1.31,0.545,135.967,129.926,0.005
Czechia,2009,261919703040.0,114.983,73.287,21.978,16.315,1.566,0.259,11.034,0.439,0.365,1.273,0.533,127.791,121.738,0.005
Czechia,2010,271231975424.0,117.476,74.554,21.141,18.398,1.469,0.27,11.227,0.433,0.352,1.293,0.527,130.563,125.466,0.005
Czechia,2011,279082762240.0,115.189,73.749,20.908,16.825,1.665,0.266,10.975,0.413,0.334,1.284,0.544,128.345,124.548,0.005
Czechia,2012,276891959296.0,111.287,70.768,20.411,16.624,1.517,0.271,10.591,0.402,0.318,1.291,0.573,124.46,121.325,0.005
Czechia,2013,276764852224.0,106.722,66.87,19.767,16.826,1.332,0.205,10.153,0.386,0.302,1.243,0.568,119.3,117.389,0.005
Czechia,2014,283025539072.0,104.246,64.905,20.812,15.113,1.483,0.208,9.912,0.368,0.294,1.213,0.575,116.499,116.146,0.005
Czechia,2015,298276061184.0,105.001,64.322,21.319,15.909,1.558,0.196,9.977,0.352,0.297,1.209,0.612,117.191,119.83,0.005
Czechia,2016,305844158464.0,106.648,64.728,21.353,17.008,1.698,0.164,10.126,0.349,0.301,1.206,0.621,118.831,119.627,0.005
Czechia,2017,321652391936.0,107.746,64.307,22.13,17.713,1.728,0.132,10.221,0.335,0.299,1.218,0.589,120.029,118.501,0.005
Czechia,2018,332009897984.0,106.336,63.573,22.341,16.645,1.868,0.108,10.08,0.32,0.29,1.209,0.571,118.574,115.775,0.005
Czechia,2019,342069379072.0,101.009,57.468,22.461,17.361,1.977,0.084,9.57,0.295,0.272,1.218,0.554,113.248,110.531,0.005
Czechia,2020,323245441024.0,91.674,49.727,21.079,17.431,1.891,0.054,8.689,0.284,0.261,1.192,0.524,103.616,100.183,0.005
Czechia,2021,334729445376.0,96.645,51.406,22.549,19.045,1.958,0.055,9.177,0.289,0.261,1.21,0.551,108.851,104.786,0.005
Czechia,2022,342966829056.0,95.108,52.973,22.868,15.78,1.847,0.044,8.911,0.277,0.255,1.208,0.531,107.512,102.267,0.005
Democratic Republic of Congo,2000,21854113792.0,1.705,0.0,0.824,0.0,0.068,0.812,0.034,0.078,0.007,0.553,0.285,26.339,273.238,0.005
Democratic Republic of Congo,2001,21977292800.0,1.647,0.0,0.689,0.0,0.081,0.877,0.032,0.075,0.006,0.549,0.242,23.97,241.024,0.005
Democratic Republic of Congo,2002,23244765184.0,1.734,0.005,0.744,0.0,0.106,0.879,0.032,0.075,0.007,0.586,0.263,23.48,234.915,0.005
Democratic Republic of Congo,2003,25228484608.0,2.096,0.002,0.905,0.0,0.132,1.057,0.038,0.083,0.008,0.599,0.281,24.587,260.835,0.005
Democratic Republic of Congo,2004,27653537792.0,2.028,0.006,0.989,0.0,0.16,0.872,0.036,0.073,0.007,0.607,0.292,25.176,248.465,0.006
Democratic Republic of Congo,2005,30164654080.0,2.287,0.023,1.238,0.0,0.207,0.819,0.039,0.076,0.008,0.59,0.279,25.9,251.701,0.006
Democratic Republic of Congo,2006,32708306944.0,2.352,0.02,1.326,0.022,0.204,0.78,0.039,0.072,0.008,0.585,0.277,26.526,250.396,0.006
Democratic Republic of Congo,2007,35814301696.0,2.623,0.03,1.447,0.044,0.205,0.896,0.042,0.073,0.008,0.558,0.238,27.611,245.903,0.006
Democratic Republic of Congo,2008,39245770752.0,2.685,0.034,1.608,0.044,0.158,0.84,0.042,0.068,0.008,0.559,0.244,28.363,424.048,0.006
Democratic Republic of Congo,2009,41718890496.0,2.446,0.024,1.473,0.044,0.177,0.728,0.037,0.059,0.008,0.544,0.236,28.43,598.916,0.006
Democratic Republic of Congo,2010,46223523840.0,2.735,0.037,1.729,0.044,0.189,0.737,0.04,0.059,0.008,0.55,0.237,29.456,692.461,0.006
Democratic Republic of Congo,2011,51169099776.0,3.041,0.029,2.22,0.044,0.175,0.572,0.043,0.059,0.009,0.53,0.219,30.614,787.361,0.007
Democratic Republic of Congo,2012,55604953088.0,2.797,0.033,2.198,0.0,0.158,0.408,0.038,0.05,0.008,0.608,0.206,37.544,775.729,0.007
Democratic Republic of Congo,2013,60956372992.0,3.921,0.013,3.364,0.0,0.174,0.371,0.052,0.064,0.011,0.62,0.212,40.472,814.101,0.007
Democratic Republic of Congo,2014,65407410176.0,5.066,0.017,4.499,0.004,0.128,0.418,0.065,0.077,0.014,0.617,0.201,43.412,736.353,0.008
Democratic Republic of Congo,2015,69567324160.0,3.274,0.034,2.686,0.004,0.155,0.397,0.04,0.047,0.009,0.619,0.203,42.989,648.106,0.008
Democratic Republic of Congo,2016,69841412096.0,2.659,0.039,2.129,0.0,0.098,0.393,0.032,0.038,0.008,0.612,0.197,43.533,674.221,0.008
Democratic Republic of Congo,2017,72396210176.0,2.917,0.049,2.169,0.001,0.349,0.349,0.033,0.04,0.008,0.618,0.194,45.86,686.779,0.009
Democratic Republic of Congo,2018,75889336320.0,3.774,0.084,2.942,0.001,0.453,0.293,0.042,0.05,0.01,0.586,0.175,46.079,608.219,0.009
Democratic Republic of Congo,2019,79292964864.0,4.121,0.044,3.165,0.001,0.536,0.375,0.044,0.052,0.011,0.584,0.175,47.795,561.261,0.009
Democratic Republic of Congo,2020,80617955328.0,4.302,0.025,3.342,0.0,0.498,0.437,0.045,0.053,0.012,0.579,0.173,49.127,510.0,0.009
Democratic Republic of Congo,2021,85639643136.0,4.269,0.034,3.206,0.0,0.604,0.425,0.043,0.05,0.012,0.574,0.17,50.21,524.883,0.009
Democratic Republic of Congo,2022,91314987008.0,4.631,0.053,3.586,0.0,0.604,0.387,0.045,0.051,0.012,0.565,0.167,51.291,549.211,0.01
Denmark,2000,208333668352.0,54.296,15.657,25.36,10.64,1.385,0.724,10.168,0.261,0.213,1.957,1.186,59.449,70.407,0.002
Denmark,2001,211243384832.0,55.886,16.558,25.603,11.105,1.388,0.771,10.429,0.265,0.217,2.002,1.149,61.018,71.465,0.002
Denmark,2002,213517287424.0,55.544,16.537,25.315,11.096,1.416,0.675,10.332,0.26,0.211,1.959,1.107,60.565,70.526,0.002
Denmark,2003,215549132800.0,60.638,22.573,24.392,11.214,1.33,0.67,11.249,0.281,0.219,1.937,1.134,65.823,76.118,0.002
Denmark,2004,222528946176.0,55.093,17.281,24.07,11.154,1.459,0.753,10.194,0.248,0.192,1.905,1.028,59.873,72.317,0.002
Denmark,2005,229074714624.0,51.527,14.602,23.883,10.69,1.363,0.548,9.508,0.225,0.174,1.895,1.01,56.316,68.279,0.002
Denmark,2006,239411019776.0,59.492,22.006,24.228,10.882,1.395,0.544,10.941,0.248,0.194,1.879,0.938,63.99,75.209,0.002
Denmark,2007,242913738752.0,54.698,18.422,24.166,9.738,1.407,0.544,10.015,0.225,0.173,1.878,0.935,59.096,71.884,0.002
Denmark,2008,243090604032.0,51.246,16.134,23.314,9.826,1.155,0.388,9.328,0.211,0.16,1.831,0.948,55.614,68.413,0.002
Denmark,2009,232507375616.0,48.84,15.784,22.292,9.412,0.764,0.262,8.843,0.21,0.155,1.763,0.913,52.983,65.434,0.002
Denmark,2010,238190231552.0,49.179,15.351,21.943,10.555,0.672,0.353,8.865,0.206,0.147,1.806,0.905,53.364,68.705,0.002
Denmark,2011,242757632000.0,44.227,12.915,20.912,8.972,0.862,0.252,7.939,0.182,0.128,1.754,0.916,48.311,61.041,0.002
Denmark,2012,243307495424.0,39.853,10.078,19.951,8.404,0.871,0.218,7.127,0.164,0.114,1.721,0.933,43.866,56.944,0.002
Denmark,2013,245578366976.0,41.755,12.755,19.572,7.929,0.867,0.244,7.436,0.17,0.118,1.812,0.912,46.378,60.077,0.002
Denmark,2014,249555238912.0,37.565,10.143,19.082,6.81,0.887,0.251,6.656,0.151,0.106,1.794,0.933,42.181,54.582,0.002
Denmark,2015,255401312256.0,35.102,7.242,19.47,6.905,0.932,0.248,6.176,0.137,0.099,1.832,0.953,40.002,52.924,0.002
Denmark,2016,263691534336.0,36.906,8.413,19.75,7.009,1.095,0.273,6.443,0.14,0.104,1.856,0.956,42.029,54.982,0.002
Denmark,2017,271132213248.0,34.652,6.253,19.916,6.676,1.194,0.242,6.011,0.128,0.096,1.857,0.955,39.9,53.165,0.002
Denmark,2018,276526465024.0,34.602,6.362,19.968,6.483,1.16,0.233,5.972,0.125,0.094,1.871,0.906,39.95,52.676,0.002
Denmark,2019,280656347136.0,30.942,3.588,19.686,6.023,1.129,0.195,5.321,0.11,0.083,1.883,0.925,36.413,49.045,0.002
Denmark,2020,275058360320.0,28.294,3.166,18.582,4.798,1.227,0.126,4.852,0.103,0.081,1.857,0.933,33.475,46.301,0.002
Denmark,2021,288414400512.0,29.588,4.207,18.759,4.877,1.21,0.111,5.052,0.103,0.08,1.842,0.893,34.882,47.465,0.002
Denmark,2022,299429003264.0,28.432,4.164,19.148,3.542,1.073,0.095,4.817,0.095,0.076,1.842,0.892,33.71,46.298,0.002
Dominican Republic,2003,63562915840.0,21.345,2.803,16.762,0.568,1.212,0.0,2.377,0.336,0.077,0.955,0.259,25.449,31.372,0.001
Dominican Republic,2004,65495457792.0,17.333,2.062,13.935,0.238,1.098,0.0,1.904,0.265,0.061,1.01,0.275,21.541,28.043,0.001
Dominican Republic,2005,72784650240.0,17.941,1.264,15.063,0.473,1.141,0.0,1.945,0.246,0.061,0.984,0.276,22.328,28.541,0.001
Dominican Republic,2006,81940406272.0,19.112,1.868,15.118,0.59,1.535,0.0,2.046,0.233,0.062,0.995,0.288,23.668,30.312,0.001
Dominican Republic,2007,90412081152.0,19.993,1.931,15.414,1.004,1.644,0.0,2.114,0.221,0.063,1.073,0.302,24.707,31.601,0.001
Dominican Republic,2008,94906720256.0,20.332,2.11,15.623,0.927,1.671,0.0,2.124,0.214,0.063,1.093,0.293,25.176,33.282,0.001
Dominican Republic,2009,97411530752.0,19.781,2.062,15.287,0.909,1.523,0.0,2.04,0.203,0.063,1.114,0.294,24.695,32.176,0.001
Dominican Republic,2010,107260796928.0,20.553,1.851,15.622,1.466,1.615,0.0,2.093,0.192,0.062,1.128,0.302,25.633,33.876,0.001
Dominican Republic,2011,112433266688.0,21.318,2.514,15.564,1.678,1.562,0.0,2.143,0.19,0.062,1.131,0.294,26.53,32.85,0.001
Dominican Republic,2012,115488079872.0,21.255,1.986,15.675,1.99,1.605,0.0,2.111,0.184,0.061,1.127,0.283,26.597,33.562,0.001
Dominican Republic,2013,121118130176.0,21.267,2.44,15.14,2.037,1.65,0.0,2.086,0.176,0.06,1.129,0.28,26.732,34.216,0.001
Dominican Republic,2014,129656946688.0,21.801,3.195,14.656,2.004,1.945,0.0,2.113,0.168,0.061,1.134,0.281,27.429,44.577,0.001
Dominican Republic,2015,138638295040.0,23.495,2.89,16.57,2.026,2.009,0.0,2.252,0.169,0.066,1.135,0.293,29.339,40.485,0.001
Dominican Republic,2016,147870203904.0,24.645,2.873,17.855,1.913,2.005,0.0,2.336,0.167,0.07,1.142,0.298,30.673,40.614,0.001
Dominican Republic,2017,154771308544.0,24.017,3.342,16.447,2.191,2.037,0.0,2.252,0.155,0.067,1.153,0.3,30.167,39.593,0.001
Dominican Republic,2018,165578997760.0,25.756,3.287,18.181,2.184,2.105,0.0,2.389,0.156,0.07,1.169,0.332,32.105,41.05,0.001
Dominican Republic,2019,173944045568.0,28.375,3.265,20.452,2.47,2.188,0.0,2.605,0.163,0.076,1.165,0.322,34.878,43.616,0.001
Dominican Republic,2020,162254995456.0,27.015,7.405,15.154,2.44,2.016,0.0,2.454,0.166,0.077,1.169,0.319,33.603,42.343,0.001
Dominican Republic,2021,182166945792.0,30.835,6.984,17.719,3.613,2.52,0.0,2.772,0.169,0.083,1.176,0.306,37.541,46.277,0.001
Dominican Republic,2022,191182372864.0,30.431,7.253,17.179,3.478,2.52,0.0,2.71,0.159,0.082,1.177,0.309,37.281,46.017,0.001
Egypt,2000,444250292224.0,143.836,3.144,85.32,40.718,11.168,3.486,1.968,0.324,0.564,0.806,0.238,191.678,225.054,0.001
Egypt,2001,475678998528.0,127.657,2.748,66.434,43.361,11.751,3.363,1.71,0.268,0.497,0.81,0.236,177.396,210.555,0.001
Egypt,2002,501912305664.0,129.155,2.957,57.133,52.97,12.722,3.373,1.694,0.257,0.492,0.829,0.238,180.255,213.204,0.001
Egypt,2003,528750444544.0,149.919,3.063,73.293,58.212,11.895,3.457,1.926,0.284,0.542,0.837,0.241,203.043,238.703,0.001
Egypt,2004,561597906944.0,152.576,3.191,75.638,57.625,12.689,3.432,1.92,0.272,0.533,0.841,0.254,207.435,244.271,0.002
Egypt,2005,600297439232.0,168.217,3.067,79.21,68.622,14.145,3.173,2.074,0.28,0.568,0.908,0.252,230.247,265.913,0.002
Egypt,2006,650403840000.0,179.194,2.928,83.689,73.833,15.569,3.175,2.167,0.276,0.585,0.921,0.246,243.398,279.317,0.002
Egypt,2007,713462317056.0,188.805,2.917,84.763,81.128,17.1,2.898,2.24,0.265,0.599,0.914,0.244,253.819,290.464,0.002
Egypt,2008,775303659520.0,197.728,2.854,92.404,83.31,16.195,2.964,2.303,0.255,0.616,0.922,0.25,265.254,302.869,0.002
Egypt,2009,831414992896.0,206.478,2.689,98.719,81.788,19.973,3.308,2.36,0.248,0.655,0.898,0.247,275.873,309.998,0.002
Egypt,2010,898751397888.0,203.608,4.126,94.255,81.948,20.514,2.766,2.283,0.227,0.61,0.833,0.251,270.9,303.61,0.002
Egypt,2011,923052867584.0,216.917,1.7,98.549,92.679,20.098,3.891,2.381,0.235,0.629,0.833,0.252,284.54,319.746,0.002
Egypt,2012,950287269888.0,213.734,1.803,93.025,92.919,20.971,5.015,2.294,0.225,0.611,0.821,0.244,281.422,315.417,0.002
Egypt,2013,984556568576.0,211.419,1.7,94.639,90.4,20.21,4.47,2.218,0.215,0.599,0.77,0.236,276.402,310.024,0.002
Egypt,2014,1035721834496.0,226.899,1.495,117.713,81.7,20.76,5.231,2.326,0.219,0.64,0.739,0.233,290.776,324.546,0.002
Egypt,2015,1079611555840.0,224.48,1.345,112.023,84.151,21.648,5.312,2.254,0.208,0.634,0.699,0.234,286.639,320.049,0.003
Egypt,2016,1121578516480.0,239.382,1.608,114.868,94.823,22.82,5.263,2.355,0.213,0.676,0.697,0.235,302.779,337.054,0.003
Egypt,2017,1158060441600.0,260.675,6.507,119.602,108.405,21.77,4.391,2.514,0.225,0.724,0.718,0.229,328.562,361.697,0.003
Egypt,2018,1220661739520.0,249.217,13.007,108.248,102.697,21.002,4.264,2.358,0.204,0.679,0.724,0.222,321.008,351.62,0.003
Egypt,2019,1289253421056.0,258.742,10.124,104.065,120.52,19.669,4.364,2.406,0.201,0.697,0.702,0.196,333.012,357.688,0.003
Egypt,2020,1307778088960.0,235.358,5.401,90.755,116.631,18.135,4.437,2.153,0.18,0.67,0.663,0.197,307.166,331.726,0.003
Egypt,2021,1400985616384.0,260.936,8.702,105.186,122.938,20.194,3.915,2.352,0.186,0.705,0.683,0.196,336.611,360.984,0.003
Egypt,2022,1460427423744.0,271.169,7.549,121.436,119.903,18.579,3.702,2.408,0.186,0.727,0.671,0.196,346.646,371.285,0.003
El Salvador,2021,57771999232.0,7.581,0.004,7.159,0.004,0.415,0.0,1.212,0.131,0.02,0.597,0.171,10.139,10.187,0.0
El Salvador,2022,59270934528.0,7.8,0.003,7.375,0.008,0.415,0.0,1.242,0.132,0.021,0.581,0.173,10.395,10.462,0.0
Estonia,2000,23525730304.0,15.471,10.851,2.719,1.482,0.374,0.0,11.074,0.658,0.061,1.96,1.104,17.619,15.876,0.001
Estonia,2001,24618991616.0,15.87,10.679,3.169,1.594,0.38,0.0,11.432,0.645,0.062,1.851,1.105,17.902,15.641,0.001
Estonia,2002,25689833472.0,15.358,10.382,3.22,1.347,0.356,0.0,11.133,0.598,0.058,1.76,1.111,17.235,17.556,0.001
Estonia,2003,27160244224.0,17.251,12.172,3.161,1.528,0.335,0.0,12.584,0.635,0.062,1.835,1.154,19.273,17.656,0.001
Estonia,2004,28392968192.0,17.322,12.012,3.169,1.727,0.365,0.0,12.712,0.61,0.06,1.858,1.179,19.347,21.721,0.001
Estonia,2005,30566893568.0,17.09,11.745,3.197,1.727,0.373,0.0,12.614,0.559,0.058,1.79,1.177,19.026,19.265,0.001
Estonia,2006,33162229760.0,16.438,11.047,3.207,1.717,0.414,0.0,12.205,0.496,0.054,1.592,1.178,18.082,18.702,0.001
Estonia,2007,35115520000.0,19.93,14.258,3.311,1.711,0.597,0.0,14.866,0.568,0.063,1.721,1.238,21.794,22.13,0.001
Estonia,2008,32659892224.0,17.815,12.322,3.188,1.656,0.603,0.0,13.324,0.545,0.056,1.887,1.269,19.878,20.913,0.001
Estonia,2009,27402481664.0,14.405,10.022,2.902,1.199,0.257,0.0,10.794,0.526,0.046,1.833,1.222,16.388,18.481,0.001
Estonia,2010,27586969600.0,18.965,14.262,3.053,1.301,0.31,0.0,14.244,0.687,0.057,1.987,1.267,21.199,22.656,0.001
Estonia,2011,29217294336.0,18.948,14.182,3.146,1.164,0.416,0.0,14.275,0.649,0.055,2.024,1.28,21.21,22.854,0.001
Estonia,2012,30160490496.0,17.761,12.602,3.229,1.254,0.407,0.0,13.429,0.589,0.051,2.065,1.3,20.051,22.179,0.001
Estonia,2013,30600421376.0,19.634,14.532,3.207,1.194,0.399,0.0,14.898,0.642,0.056,1.975,1.329,21.802,24.037,0.001
Estonia,2014,31521830912.0,18.784,14.072,3.231,1.008,0.422,0.0,14.29,0.596,0.053,2.071,1.347,21.035,23.966,0.001
Estonia,2015,32106016768.0,15.78,11.271,3.334,0.903,0.206,0.0,12.004,0.491,0.045,2.066,1.349,18.001,21.29,0.001
Estonia,2016,33119084544.0,17.433,12.763,3.427,0.991,0.185,0.0,13.248,0.526,0.049,2.015,1.313,19.672,22.339,0.001
Estonia,2017,35037376512.0,18.616,13.877,3.436,0.912,0.307,0.0,14.131,0.531,0.052,2.104,1.341,20.976,23.968,0.001
Estonia,2018,36363239424.0,17.801,13.063,3.398,0.958,0.298,0.0,13.465,0.49,0.048,2.234,1.328,20.344,23.467,0.001
Estonia,2019,37723176960.0,12.288,7.776,3.256,0.882,0.295,0.0,9.261,0.326,0.033,2.124,1.322,14.635,17.519,0.001
Estonia,2020,37515272192.0,9.198,5.277,3.03,0.806,0.02,0.0,6.918,0.245,0.026,1.298,1.308,10.441,13.254,0.001
Estonia,2021,40521482240.0,10.391,6.458,2.929,0.916,0.0,0.0,7.802,0.256,0.028,1.308,1.31,11.655,14.439,0.001
Estonia,2022,39999856640.0,11.757,7.877,3.133,0.679,0.0,0.0,8.708,0.294,0.032,1.188,1.32,12.879,15.699,0.001
Finland,2000,169209757696.0,57.017,21.989,25.824,7.717,0.505,0.058,11.015,0.337,0.224,4.393,1.403,79.906,96.358,0.002
Finland,2001,173703954432.0,62.521,26.129,26.447,8.391,0.504,0.053,12.051,0.36,0.243,4.455,1.459,86.19,103.839,0.002
Finland,2002,176751493120.0,65.049,28.309,26.809,8.341,0.485,0.061,12.508,0.368,0.248,4.275,1.491,88.026,107.646,0.002
Finland,2003,180408467456.0,72.658,35.018,26.925,9.231,0.467,0.056,13.938,0.403,0.263,4.382,1.532,96.52,117.552,0.002
Finland,2004,187633926144.0,68.946,31.642,26.915,8.87,0.529,0.055,13.187,0.367,0.241,4.796,1.512,95.045,117.6,0.002
Finland,2005,192990740480.0,57.064,21.041,26.364,8.124,0.542,0.07,10.877,0.296,0.193,4.293,1.462,80.4,104.573,0.002
Finland,2006,200966848512.0,68.373,31.585,26.453,8.688,0.574,0.058,12.983,0.34,0.223,4.721,1.495,94.299,117.402,0.002
Finland,2007,211541393408.0,66.764,30.349,26.646,8.118,0.605,0.081,12.624,0.316,0.212,3.775,1.52,88.004,112.913,0.002
Finland,2008,213226094592.0,58.625,23.676,24.941,8.36,0.62,0.097,11.033,0.275,0.183,3.744,1.47,79.485,104.312,0.002
Finland,2009,195739123712.0,55.92,22.9,24.198,7.501,0.385,0.075,10.474,0.286,0.177,3.671,1.343,76.009,99.086,0.002
Finland,2010,201746022400.0,64.092,29.146,25.131,8.274,0.526,0.096,11.95,0.318,0.192,3.76,1.461,85.336,108.295,0.002
Finland,2011,207084306432.0,56.647,24.084,23.766,7.254,0.558,0.088,10.513,0.274,0.164,3.668,1.398,77.264,99.943,0.002
Finland,2012,204190203904.0,51.155,19.596,23.673,6.463,0.497,0.102,9.449,0.251,0.146,4.002,1.371,73.573,96.812,0.002
Finland,2013,202349019136.0,51.719,21.36,22.841,6.064,0.482,0.079,9.509,0.256,0.147,3.798,1.36,73.072,96.985,0.002
Finland,2014,201610625024.0,47.622,19.327,21.543,5.393,0.469,0.084,8.719,0.236,0.134,3.609,1.37,68.054,92.371,0.002
Finland,2015,202706714624.0,44.192,16.843,21.386,4.724,0.462,0.108,8.065,0.218,0.125,3.382,1.341,63.351,88.243,0.003
Finland,2016,208405725184.0,47.251,18.66,22.94,4.207,0.553,0.104,8.598,0.227,0.133,2.839,1.344,63.55,89.421,0.003
Finland,2017,215058874368.0,44.657,17.089,22.214,3.887,0.604,0.146,8.107,0.208,0.124,2.654,1.336,60.002,88.048,0.003
Finland,2018,217509953536.0,45.734,17.924,22.045,4.412,0.602,0.091,8.292,0.21,0.125,2.543,1.361,60.717,89.644,0.003
Finland,2019,220173893632.0,42.442,15.252,21.657,4.309,0.583,0.065,7.686,0.193,0.114,2.443,1.375,56.855,87.362,0.003
Finland,2020,214988898304.0,37.7,11.863,20.256,4.357,0.57,0.076,6.818,0.175,0.107,2.299,1.306,51.034,81.102,0.003
Finland,2021,221538484224.0,37.798,12.646,19.541,4.327,0.623,0.068,6.821,0.171,0.102,2.176,1.3,50.488,83.426,0.003
Finland,2022,226154840064.0,36.367,12.145,20.567,2.403,0.597,0.065,6.53,0.161,0.098,2.02,1.296,48.227,82.708,0.003
France,2000,2031676030976.0,406.139,65.668,238.715,84.16,8.561,4.227,6.828,0.2,1.592,1.513,0.77,455.778,486.069,0.013
France,2001,2077786767360.0,410.445,56.01,248.684,88.274,8.655,4.188,6.852,0.198,1.597,1.499,0.754,459.258,483.233,0.014
France,2002,2107316502528.0,405.947,58.579,242.252,87.873,8.643,3.942,6.729,0.193,1.545,1.466,0.725,454.285,475.422,0.014
France,2003,2130940657664.0,411.965,59.184,244.12,91.564,8.556,3.903,6.782,0.193,1.489,1.436,0.715,460.629,480.439,0.014
France,2004,2196883505152.0,413.379,58.254,244.202,93.194,9.065,3.929,6.757,0.188,1.444,1.413,0.704,461.221,481.08,0.014
France,2005,2238790500352.0,415.795,62.071,241.28,94.908,9.108,3.931,6.747,0.186,1.404,1.389,0.675,462.856,480.763,0.014
France,2006,2297018187776.0,406.157,59.521,236.189,92.313,9.307,4.231,6.546,0.177,1.326,1.364,0.649,451.332,467.879,0.014
France,2007,2354672041984.0,396.01,61.413,226.863,89.18,9.478,4.527,6.343,0.168,1.256,1.355,0.654,440.482,459.152,0.015
France,2008,2362451689472.0,389.094,56.225,222.805,91.986,8.88,4.803,6.198,0.165,1.213,1.351,0.63,433.362,452.273,0.015
France,2009,2295353049088.0,370.876,45.205,218.919,90.679,7.679,4.518,5.877,0.162,1.176,1.317,0.602,413.893,432.272,0.015
France,2010,2342490472448.0,376.457,49.122,215.221,96.099,7.888,4.119,5.936,0.161,1.129,1.311,0.608,420.071,440.891,0.015
France,2011,2393401982976.0,354.375,42.131,208.439,87.628,8.065,3.888,5.56,0.148,1.027,1.268,0.585,396.44,415.609,0.015
France,2012,2400896417792.0,356.439,46.799,204.283,90.402,7.502,3.315,5.564,0.148,1.018,1.249,0.593,398.053,421.587,0.015
France,2013,2414733688832.0,358.703,49.56,203.476,91.016,7.3,3.058,5.571,0.149,1.016,1.241,0.602,400.068,429.351,0.015
France,2014,2437822808064.0,326.842,39.554,196.836,76.291,6.975,2.966,5.052,0.134,0.922,1.221,0.599,366.821,397.709,0.016
France,2015,2464953663488.0,331.49,38.043,198.718,81.258,6.606,2.865,5.106,0.134,0.936,1.195,0.608,370.096,404.058,0.016
France,2016,2491956330496.0,334.2,35.924,196.022,88.941,6.639,2.876,5.135,0.134,0.944,1.192,0.584,373.022,406.95,0.016
France,2017,2549057585152.0,337.101,39.939,194.975,89.163,6.483,2.824,5.164,0.132,0.937,1.185,0.604,376.423,420.275,0.016
